title,link
"진주시, 특별재난지역 추가 지정",http://www.enewstoday.co.kr/news/articleView.html?idxno=2313505
"'AI로 해양재난 대비' 해양환경공단, 방제훈련 시나리오 교육",https://www.klnews.co.kr/news/articleView.html?idxno=317668
"쿠쿠, 수해피해주민에 '밥솥200대' 추가지원",https://www.nbnews.kr/news/articleView.html?idxno=113064
"대한적십자사 서울지사, 호우피해 이재민에 온누리상품권 전달",https://idsn.co.kr/news/view/1065573805423606
"인현동 참사 고 이지혜, 하루 알바했다고 25년간 보상 제외 &quot;명예회복 필...",https://www.incheontoday.com/news/articleView.html?idxno=306455
"내란특검, 조선호 전 경기도소방재난본부장 소환…'단전·단수 의혹' 조...",https://n.news.naver.com/mnews/article/448/0000548183?sid=102
"경남농협, 합동 수해복구 나서",https://www.chukkyung.co.kr/news/articleView.html?idxno=77163
"마사회, 예산서 수박밭 복구 구슬땀",https://www.chukkyung.co.kr/news/articleView.html?idxno=77139
"농식품부, 가금 폭염·폭우 피해 총력 대응",https://www.chukkyung.co.kr/news/articleView.html?idxno=77214
"폭염에 가축 폐사 증가, 예산 찔끔",https://www.chukkyung.co.kr/news/articleView.html?idxno=77140
